advertiserurl,company,employmenttype_jobstatus,jobdescription,jobid,joblocation_address,jobtitle,postdate,shift,site_name,skills,uniq_id
"https://www.dice.com/jobs/detail/DevOps-Engineer-Matrix-Resources-Atlanta-GA-30301/matrixga/110801?icid=sr64-3p&q=&l=Atlanta,%20GA",Matrix Resources,Full Time,"Midtown based high tech firm has an immediate need for an innovative DevOps Engineer to help define Dev / Ops related processes, build out the automation.  In this position, the Dev / Ops Engineer will need to engineer technical solutions as well as perform process engineering. The ideal candidate has strong scripting skills for automation as well experience with configuration management, server deployment, and continuous integration and experience with tools such as Chef, Puppet, etc.  Must have experience with virtualization using VMware and Linux experience is preferred.  Experience with GO, Docker, Ansible, Microservices, and the Cloud are highly desired.   This is a permanent position with an innovative technology firm in Midtown that offers excellent benefits including bleeding edge technology, very generous PTO, matching 401(k), high-tech office environment, casual dress and a collaborative culture.  Need is IMMEDIATE!!    Category: Developer / Architect -Other",Dice Id : matrixga,"Atlanta, GA",DevOps Engineer,48 minutes ago,Telecommuting not available|Travel not required,,"Configuration Management, Developer, Linux, Management, Process Engineering, VMware",45efa1f6bc65acc32bbbb953a1ed13b7
"https://www.dice.com/jobs/detail/Network-Engineer-Noble1-Atlanta-GA-30301/90884761/211?icid=sr242-9p&q=&l=Atlanta,%20GA",Noble1,"Full Time, Direct Hire","Network Engineer Job Description A Network Engineer is responsible for analyzing, designing, installing, configuring, maintaining and repairing of network infrastructure and application components. A Network Engineer performs a wide variety of evaluation, maintenance, installation and training tasks to ensure the computer network performance meets company and user satisfaction. A Network Engineer also provides direction, information, and recommendations regarding network configurations and installations. PRIMARY DUTIES AND RESPONSIBILITIES:   * Maintain a thorough understanding of the basics behind the Internet and its workings (DNS, Security, IP Routing, HTTP, VPN, Email Routing, SPAM, etc.) * Configure and setup Cisco Firewalls, VPN Concentrators and Security appliances for access to vital business applications * Design, setup and configure complex switching environments * Design, setup and configure complex wireless networking that supports open or secured access and the ability to support voice and video applications * Maintain a thorough understanding of Local Area Networking * Assist in the design of multi-server environments including IP address schemes, DNS, WINS, EtherChannel (Bonding), etc. * Configuring and installing client and server network software for upgrading and maintaining network and telecommunication systems. * Maintaining multi-site network operations and software applications, operating systems and regular maintenance with both private and public facilities * Managing assigned projects and program components to deliver services in accordance with established objectives. * Responding to inquiries from staff, administrators, service providers, site personnel and outside vendors and etc. to provide technical assistance and support * Supervising the administration of systems and servers related network to ensure availability of services to authorized users.  Date Posted: 06/10/2016",Dice Id : 90884761,"Atlanta, GA",Network Engineer,1 hour ago,Telecommuting not available|Travel not required,,"Cisco, DNS, HTTP, Networking, Network Engineer, Security, Video, VPN, Wireless",e7e326053c586bd94e59f1fd74de4a1b
"https://www.dice.com/jobs/detail/Front-End-Developer-Genesis10-New-York-NY-10001/gentx001/16-03932?icid=sr14288-477p&q=&l=California,%20Us,%20CALIFORNIA",Genesis10,"Full Time, Direct Placement","This is a fulltime position for a Javascript developer for a financial software, data, and media company. This role is based our of the Midtown, NY location (candidates must work onsite). You'll be part of a team working on the application that is the glue that holds the firm's main product together and is used as a communication tool, a price dissemination system and a way to receive information from all other applications within the firm. Responsibilities:   Help us design, create and build our next-generation user interface Be a key contributor in the re-architecting of our application service layers to improve our scalability, stability and performance Work with the team, our product and our customers to define priorities and the technology we use Work with other teams and learn about our search infrastructure, core databases and how we support hundreds of applications through our APIs Required Skills and Experience:   3+ years of production-level development Solid JavaScript knowledge Must want to and like working on UI Preferred:   An understanding of C++ fundamentals Experience working on other highly visible applications  Start Date: 06/03/2016",Dice Id : gentx001,"New York, NY",Front End Developer,7 hours ago,Telecommuting not available|Travel not required,,"C++, Developer, Development, JavaScript, User Interface",28f5e0c1cc3314813e674f0c32b04d1b
"https://www.dice.com/jobs/detail/Project-Manager-VanderHouwen-%2526-Associates%252C-Inc.-Hillsboro-OR-97124/vhassoc/31269-1807-MH58?icid=sr14701-491p&q=&l=California,%20Us,%20CALIFORNIA","VanderHouwen & Associates, Inc.","Contract W2, Contract","VanderHouwen has more jobs you may like! Find them here:http://bit.ly/1RIQfgE PLEASE JOIN OUR TALENT NETWORK: http://bit.ly/vhatalentnetworkJoining the Talent Network with VanderHouwen & Associates (VHA) will enhance your job search and application experience. Job listings are mobile-friendly and easy to review, share, or apply. Whether you choose to just leave us your information or apply, we look forward to connecting with you. SummaryOur client is looking for a Project Manager to join the team looking to expand services offered device wide. This project is in flight in the implement and roll out phase. They need someone who can hit the ground running and help carry this across the finish line.ResponsibilitiesDrive / Facilitate conversations.Schedule meetings.Clarify tools used for Project Management (MS Project, etc.)Take over presented tasks.QualificationsPMP preferred but not required.Familiarity with multiple device management.Recent Mobile Device experience required.Familiarity and adaptability to new and emerging technologies.",Dice Id : vhassoc,"Hillsboro, OR",Project Manager,7 hours ago,Telecommuting not available|Travel not required,,mobile device,48b7ca0c2f6191fb48e7ecf19fbd3322
"https://www.dice.com/jobs/detail/Business-Systems-Analyst-VanderHouwen-%2526-Associates%252C-Inc.-Hillsboro-OR-97124/vhassoc/31326-1807-MH58?icid=sr14659-489p&q=&l=California,%20Us,%20CALIFORNIA","VanderHouwen & Associates, Inc.","Contract W2, Contract","VanderHouwen has more jobs you may like! Find them here: http://bit.ly/1RIQfgE PLEASE JOIN OUR TALENT NETWORK: http://bit.ly/vhatalentnetworkJoining the Talent Network with VanderHouwen & Associates (VHA) will enhance your job search and application experience. Job listings are mobile-friendly and easy to review, share, or apply. Whether you choose to just leave us your information or apply, we look forward to connecting with you.  SummaryOur client is looking for a Business Systems Analyst who is Comfortable working in an ambiguous, complex environment with various teams and groups.Qualifications Background in creation of Internal Software desired, as opposed to .com business.Working knowledge of 3D principles preferred.Design Tool experience (AI, Maya, Browzwear, etc.) preferred.",Dice Id : vhassoc,"Hillsboro, OR",Business Systems Analyst,7 hours ago,Telecommuting not available|Travel not required,,"AI, Maya, Browzwear, 3D",b923d29624fb4dc9e193aa30f8253ee6
"https://www.dice.com/jobs/detail/Software-Developer-VanderHouwen-%2526-Associates%252C-Inc.-Redmond-WA-98052/vhassoc/30236-1807-MH58?icid=sr14772-493p&q=&l=California,%20Us,%20CALIFORNIA","VanderHouwen & Associates, Inc.","Contract W2, Contract","PLEASE JOIN OUR TALENT NETWORK: http://bit.ly/vhatalentnetwork  Joining the Talent Network with VanderHouwen & Associates (VHA) will enhance your job search and application experience. Job listings are mobile-friendly and easy to review, share, or apply. Whether you choose to just leave us your information or apply, we look forward to connecting with you.Summary The ideal candidate is a clever, motivated and versatile coder with a hacker mentality who is eager to tackle complex problems. The candidate must be comfortable working in an agile development environment with high expectations for rapid delivery of prototypes, changing requirements, and direct feedback from the internal business customer.  Candidates should be able to learn fast and learn on the fly in order to work with a variety of languages, and be capable of taking responsibility for delivering code that accomplishes defined objectives.  Qualifications Required .NET and C# (Minimum 2 years* experience)Full development lifecycle experience including analysis, design, implementation, testing, monitoringSQL Server: Data modelling, T-SQL, Stored procs, Performance TuningBS or higher degree in Computer Science or related technical field. Qualifications Preferred Microsoft Azure or other cloud technologies Cosmos or other big data technologiesWeb API/UI development",Dice Id : vhassoc,"Redmond, WA",Software Developer,7 hours ago,Telecommuting not available|Travel not required,,".NET and C#, SQl",8cbcc9ef3be25e4409fcb4ab55d6503d
"https://www.dice.com/jobs/detail/Web-Developer-Tellus-Solutions-Sunnyvale-CA-94086/10196168/Tellus-A-194?icid=sr14858-496p&q=&l=California,%20Us,%20CALIFORNIA",Tellus Solutions,"Contract Corp-To-Corp, 12 Months","Help invent the next generation of ecommerce; integrated experiences that leverage the store, and the web to sell anything, to anyone, anywhere in the worldThe Opportunity: -    Work in a small, high performance agile team environment - sharing innovative ideas and working collaboratively across teams. -       Work with talented engineers and product visionaries to contribute to the vision and design of our web and mobile properties. -       Create front end of interactive websites incorporating HTML5, CSS3, JavaScript, AJAX as well as other Web 2.0 techniques. -       Be a product-oriented Web Developer creating and experimenting with new ideas that will engage and excite our customers.Experience/Skills required: -      Bachelor's degree in Computer Science or related technical field. MS/PhDwould be a strong plus. -      3+ years' experience in HTML5, JavaScript, CSS3, AJAX and general Web 2.0 techniques in the context of interactive Web Applications. -       Strong understanding of responsive design techniques and principles-       A passion for all things JavaScript, UI and Front End-       Must be able to work effectively both on teams as well as be self-motivated, task oriented and organized.-       Strong customer focus and obsession with quality-       Ability to work in a fast-paced and agile development environment",Dice Id : 10196168,"Sunnyvale, CA",Web Developer,7 hours ago,Telecommuting not available|Travel not required,,"HTML, JavaScript, CSS, AJAX",f91cae11b0c8eaf832880a328fbabbcf
"https://www.dice.com/jobs/detail/Business-Analyst-VanderHouwen-%2526-Associates%252C-Inc.-Spokane-WA-99201/vhassoc/30206-1807-MH58?icid=sr14669-489p&q=&l=California,%20Us,%20CALIFORNIA","VanderHouwen & Associates, Inc.","Full Time, Full time","PLEASE JOIN OUR TALENT NETWORK: http://bit.ly/vhatalentnetwork  Joining the Talent Network with VanderHouwen & Associates (VHA) will enhance your job search and application experience. Job listings are mobile-friendly and easy to review, share, or apply. Whether you choose to just leave us your information or apply, we look forward to connecting with you.Responsibilities Provides companywide strategic, analytical, and technical support for Information Delivery activities. The analyst acts as an intermediary between the business community and the technical community working with IT project teams and business partners to collect, clarify, and translate business requirements into documentation, conceptual designs, and Information Delivery solutions.Partners with business departmental teams to define and document business requirements for new metrics and reports.Elicits requirements using interviews, document analysis, requirements workshops, surveys, site visits, business process descriptions, use cases, scenarios, business analysis, and task and workflow analysis.Creates user-centric designs based on business and functional requirements, user research, market analysis, customer feedback, and usability findings.Designs user interfaces by using conceptual design techniques such as creating visual mock-ups, prototypes, and diagrams.Projects: 50%Day-to-Day Support: 40%Adhoc Request: 10%Qualifications Required Bachelors Degree in Computer Science or a related field is a bonus, but is not required.Certifications are a bonus, but are not required.5+ years of experience in working in systems and applications analysis.Data modelling, database design, database administration and web support.Data collection, data mining, data hygiene, and a close attention to detail. Accuracy is everything for reporting.Experience working in the Microsoft SQL Reporting Services Suite: SSRS, SSAS, SSIS (importance in that order).Database experience in SQL and T-SQL: will create stored procedures, pivot tables (PowerPivot / PowerView), views, triggers, etc.Additional tasks include supporting the company intranet through SharePoint Administration.Must have excellent communication and collaboration skills, as this team works across multiple groups. Someone that can create and build true internal partnerships, open communication skills, a propensity to learn and expand on their abilities, an ability to handle a constantly changing environment, and that can deal with ambiguity.Must be self-motivated and be able to take loose requirements and be creative with it.Qualifications Preferred Data Visualization experience is a major bonus.SharePoint Administration experience.Experience working in Cognos, Tableau, SAP Business Objects or any of the other major reporting tools.",Dice Id : vhassoc,"Spokane, WA",Business Analyst,7 hours ago,Telecommuting not available|Travel not required,,SQL Reporting Services Suite,510481dba5a43cc2b77546f0dadb1ce4
"https://www.dice.com/jobs/detail/Business-Systems-Analyst-VanderHouwen-%2526-Associates%252C-Inc.-Beaverton-OR-97006/vhassoc/30570-1807-MH58?icid=sr14173-473p&q=&l=California,%20Us,%20CALIFORNIA","VanderHouwen & Associates, Inc.","Contract W2, Contract","PLEASE JOIN OUR TALENT NETWORK: http://bit.ly/vhatalentnetwork  Joining the Talent Network with VanderHouwen & Associates (VHA) will enhance your job search and application experience. Job listings are mobile-friendly and easy to review, share, or apply. Whether you choose to just leave us your information or apply, we look forward to connecting with you.ResponsibilitiesPartner with business teams to identify, define, and document requirements to support project and business objectivesConduct and/or participates in the analysis of client business processes and functional requirementsPerform data and process analysis to understand key source systems and using knowledge of application features and functions to assess scope and impact of business needsCollaborate with users, development, and QA teams throughout the project lifecycleAct as client proxy during development and testingIdentify and documents workflow, process diagrams, information resources, and system specificationsParticipate in the analysis and definition of efficient, cost effective solutions that support business processes and functional requirementsSuccessfully design and facilitate requirements elicitation sessions including use of interviews, document analysis, workshops, surveys, business process outcome modeling, personas, user centric design, task and workflow analysisQualifications Proven track record creating innovative product ideas and concepts that meet business and product strategies based on rigorous analysis of customer needs, the current technology landscape and the competitive environment.Strong understanding of enterprise-level eCommerce platforms and technologies including user profile management, messaging platforms, content personalization, product information, and social platforms.Experience working with in-house development teams using SCRUM methodology, authoring user stories and acceptance criteria, collaborating with developers and QA to ensure product features are delivered according to specifications.Proven track record leading cross-functional teams, including architects, developers, designers and business stakeholders. Ability to facilitate business, process, and technical discussions to drive clarity and understanding among a diverse set of senior stakeholders.Ability to create and prioritize feature backlogs and product roadmaps, with a clear understanding of company, group and team goals and objectives.Demonstrated philosophy of continuous improvement, applying product management best practices to your work and sharing those with the Digital Product Management community.A high tolerance for ambiguity and demonstrated ability to achieve business results in a hyper-dynamic environment.Bachelor's degree in Business, Computer Science, Marketing, or related field. MBA is preferred.4+ years product management experience in a technology-centric business. Strong B2C digital product management for consumer-facing experiences is a must.  ",Dice Id : vhassoc,"Beaverton, OR",Business Systems Analyst,7 hours ago,Telecommuting not available|Travel not required,,B2C digital product management,8d0ffe9061aa61fbd3fdfae28fa9e2b9
"https://www.dice.com/jobs/detail/Java-Developer-TRIGYN-TECHNOLOGIES%252C-INC.-Montreal-QC-H1A%200A1/trinj/B0117-0003-LS?icid=sr12462-416p&q=&l=California,%20Us,%20CALIFORNIA","TRIGYN TECHNOLOGIES, INC.","Contract Corp-To-Corp, Contract Independent, Contract W2, Contract 12 Months","Trigyn's direct financial client has an immediate opening for Java Developer in Montreal, Canada.Skills Required: Java Unix XML SQLSkills Desired: Previous finance experience Spring Soap MQ or alternativesDB2 or Sybase exposure Perl/Bash/Ksh scripting Jira/Perforce/Git/Eclipse Global working experience Excellent communication skills Education Level : Bachelor's Degree.NO THIRD PARTY CANDIDATES PERMITTED.PLEASE RESPOND ONLY IF YOU ARE CURRENTLY ELIGIBLE TO WORK IN CANADA.TRIGYN TECHNOLOGIES, INC. is an EQUAL OPPORTUNITY EMPLOYER and has been in business for 30 years. TRIGYN is an ISO 9001:2008, ISO 27001:2013 (ISMS) and CMMI Level 3 certified company. TRIGYN is an E-Verify* Employer.",Dice Id : trinj,"Montreal, QC",Java Developer,5 hours ago,Telecommuting not available|Travel not required,www.dice.com,See job description,b973f9625d5a239be48b37dad4a83eac
